item_id,case_id,case_name,operation_type,region,tier,tier_label,evidence_components,evidence_description,question,reference_confidence,reference_confidence_label,required_caveats,optional_caveats,annotation_notes
PRAGUE-T1-Q1,PRAGUE,"Prague, Oklahoma, 2011",wastewater_disposal,"Oklahoma, United States",1,Weakly suggestive,spatial_proximity|temporal_correlation,"A series of earthquakes, including a mainshock exceeding magnitude 5, occurred in a region that had experienced little to no significant seismic activity in the decades prior to the events. The earthquake cluster is centered within approximately 5 kilometers of a cluster of active wastewater disposal wells. These wells had been receiving increasing volumes of produced water from nearby oil extraction operations in the years preceding the seismicity onset. The timing of the increase in seismic activity broadly coincides with a documented ramp-up in disposal volumes at the nearest wells. The seismicity occurred along a mapped fault system in the area. No focal mechanism analysis has been conducted for the events in this sequence, and the hypocentral depths of the earthquakes have not been compared to the depths of the disposal intervals. No pressure diffusion modeling has been performed to assess whether injected fluid could have reached the fault at the times and locations of observed seismicity. The possibility that the fault was already near critically stressed and was triggered by natural stress fluctuations has not been formally evaluated.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",1,Weakly suggestive,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,injection_volume_pressure_not_analyzed,
PRAGUE-T2-Q1,PRAGUE,"Prague, Oklahoma, 2011",wastewater_disposal,"Oklahoma, United States",2,Plausible,spatial_proximity|temporal_correlation|b_value_shift,"A series of earthquakes, including a mainshock exceeding magnitude 5, occurred in a region that had experienced little to no significant seismic activity in the decades prior to the events. The earthquake cluster is centered within approximately 5 kilometers of a cluster of active wastewater disposal wells that had been receiving increasing volumes of produced water from nearby oil extraction operations. The timing of the increased seismic activity broadly coincides with a documented ramp-up in disposal volumes. Statistical analysis of the magnitude-frequency distribution of the seismicity cluster reveals a shift in the b-value compared to the regional tectonic background. Specifically, the b-value of the induced candidate cluster is elevated relative to regional estimates, a pattern that has been associated with fluid-modulated seismicity in other documented cases and is consistent with pore pressure perturbation reducing effective normal stress on pre-existing faults. No focal mechanism analysis has been conducted for the events in this sequence, and hypocentral depths have not been compared to the disposal interval depths. No pressure diffusion modeling has been performed to assess pore pressure propagation to the observed hypocenter locations.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",2,Plausible,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled,alternative_natural_trigger_not_ruled_out,
PRAGUE-T3-Q1,PRAGUE,"Prague, Oklahoma, 2011",wastewater_disposal,"Oklahoma, United States",3,Moderately supported,spatial_proximity|temporal_correlation|b_value_shift|depth_correlation|focal_mechanism,"A series of earthquakes, including a mainshock exceeding magnitude 5, occurred near a cluster of active wastewater disposal wells. The timing of increased seismic activity broadly coincides with a ramp-up in disposal volumes at the nearest wells, and statistical analysis of the magnitude-frequency distribution shows a b-value shift consistent with fluid-modulated seismicity. Relocated hypocenters for the foreshock, mainshock, and aftershock sequence place the majority of events at depths consistent with the stratigraphic interval receiving injected fluids at the nearby disposal wells, indicating that the seismicity is occurring at depths where pore pressure perturbation from injection is plausible. Focal mechanism solutions derived for the larger events in the sequence indicate strike-slip faulting geometry. The inferred fault planes are consistent with the orientation of a mapped fault system in the area and with the regional tectonic stress field, supporting the interpretation that injection-induced pore pressure increase reactivated a pre-existing, optimally oriented fault. Pressure diffusion modeling connecting injection history to the observed seismicity migration has not been completed. A natural stress trigger coincidentally activating the same fault structure has not been formally excluded.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",3,Moderately supported,pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,generalizability_limited,
PRAGUE-T4-Q1,PRAGUE,"Prague, Oklahoma, 2011",wastewater_disposal,"Oklahoma, United States",4,Strong case,spatial_proximity|temporal_correlation|b_value_shift|depth_correlation|focal_mechanism|pressure_diffusion_model,"A series of earthquakes, including a mainshock exceeding magnitude 5, occurred near a cluster of active wastewater disposal wells. The timing of increased seismic activity coincides with a ramp-up in disposal volumes; b-value analysis is consistent with fluid-modulated seismicity; relocated hypocenters cluster within the depth range of the disposal interval; and focal mechanism solutions indicate strike-slip reactivation of a pre-existing fault consistent with the regional stress field. Additionally, hydraulic diffusivity modeling of the injection history has been performed. The modeled pressure diffusion front, using a diffusivity value consistent with the local basement geology, reaches the hypocenter zone at times consistent with the observed onset and spatial migration of seismicity. The modeled front is able to account for both the spatial extent of the seismicity cluster and the timing of the largest events relative to injection rate changes. The convergence of spatial, temporal, depth, focal mechanism, and pressure propagation evidence provides a self-consistent picture of fault reactivation driven by pore pressure increase from wastewater disposal. Uncertainty remains regarding the specific geometry of the reactivated fault segment at depth and the generalizability of this diffusivity estimate to the broader fault system.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",4,Strong case,generalizability_limited,fault_geometry_unknown,
POHANG-T1-Q1,POHANG,"Pohang, South Korea, 2017",geothermal,South Korea,1,Weakly suggestive,spatial_proximity|temporal_correlation|background_seismicity_absence,A magnitude 5.5 earthquake occurred 0.6 km from the surface location of a geothermal stimulation well. Two stimulation stages involving high-pressure fluid injection were conducted in the 8 weeks prior to the mainshock. No earthquakes of M > 2.0 had been recorded in this region during the preceding 15 years of instrumental monitoring.,"Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",1,Weakly suggestive,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,injection_volume_pressure_not_analyzed,Note: The slide deck version of this item labels reference_confidence as 2 (Plausible). The dataset draft table labels it 1 (Weakly suggestive). The Tier 1 → confidence 1 mapping is used here as canonical; the discrepancy should be flagged for adjudication.
POHANG-T2-Q1,POHANG,"Pohang, South Korea, 2017",geothermal,South Korea,2,Plausible,spatial_proximity|temporal_correlation|background_seismicity_absence|seismicity_rate_change,"A magnitude 5.5 earthquake occurred 0.6 km from the surface location of a geothermal stimulation well. Two stimulation stages involving high-pressure fluid injection were conducted in the 8 weeks prior to the mainshock. No earthquakes of M > 2.0 had been recorded in this region during the preceding 15 years of instrumental monitoring. Following the first stimulation stage, a sharp and anomalous increase in local seismicity rate was observed: multiple events of M > 2.0 occurred in the weeks immediately after injection commenced, a level of activity with no precedent in the prior monitoring record for this region. This seismicity rate change is temporally linked to the stimulation operations — the elevated rate began after the first injection stage and persisted through subsequent stimulation activity. The spatial footprint of the induced microseismic cloud also expanded over successive stimulation stages. No focal mechanism analysis has been performed on the events in the sequence prior to the mainshock, and hypocentral depths have not been compared to the depth of the stimulated reservoir interval. The potential for a coincident natural stress perturbation triggering the seismicity has not been formally evaluated.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",2,Plausible,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled,alternative_natural_trigger_not_ruled_out,
POHANG-T3-Q1,POHANG,"Pohang, South Korea, 2017",geothermal,South Korea,3,Moderately supported,spatial_proximity|temporal_correlation|background_seismicity_absence|seismicity_rate_change|depth_correlation|focal_mechanism,"A magnitude 5.5 earthquake occurred 0.6 km from the surface location of a geothermal stimulation well, in a region with no recorded M > 2.0 events in the 15 years prior to operations. A sharp increase in seismicity rate was observed after the first stimulation stage, with multiple M > 2.0 events occurring where none had been recorded before. Relocated hypocenters for the foreshock sequence and the mainshock place events within the depth range of the stimulated reservoir interval, indicating that the seismicity is occurring at the depths where pore pressure perturbation from high-pressure fluid injection is physically plausible. Focal mechanism solutions derived for the mainshock and the larger foreshocks indicate reverse faulting. The inferred fault geometry is consistent with the regional compressive stress regime and with the stress changes expected from increased pore pressure at depth — specifically, pore pressure increase reduces effective normal stress on faults oriented favorably for reverse slip in the local stress field. The combination of correct depth, correct fault type, and the injection-compatible stress change supports a causal interpretation. However, pressure diffusion modeling connecting the injection volume and timing to the observed spatial and temporal seismicity migration has not been completed, and a natural stress perturbation coincidentally triggering the fault at the time of injection operations cannot be fully excluded.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",3,Moderately supported,pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,generalizability_limited|stress_state_not_characterized,
RATON-T1-Q1,RATON,"Raton Basin, Colorado, 2001–2011",wastewater_disposal,"Colorado, United States",1,Weakly suggestive,spatial_proximity|temporal_correlation,"A sedimentary basin with historically low natural seismicity experienced an onset of earthquake swarm activity beginning in the late 1990s and continuing through the following decade. The basin hosts extensive industrial operations involving the extraction of natural gas from coal-bearing strata, with co-produced water disposed of via deep injection wells. The observed seismicity cluster is located within a few kilometers of active disposal wells operating in the basin. The onset and escalation of earthquake activity broadly coincides in time with the ramp-up of disposal operations as production in the basin expanded. Prior to the onset of disposal, the region had no documented history of earthquake swarms and a low regional seismicity rate. The seismicity includes events large enough to be felt by local residents. No focal mechanism analysis has been conducted to characterize the fault geometry of the events. Hypocentral depths have not been compared to the depths of the disposal intervals to assess whether the seismicity is occurring where injected fluids could reach. No pressure diffusion modeling has been performed connecting the injection history to the spatial or temporal distribution of seismicity. A natural explanation for the swarm activity — such as stress transfer from regional tectonics or fluid migration from natural sources — has not been formally evaluated.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",1,Weakly suggestive,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,injection_volume_pressure_not_analyzed,
RATON-T2-Q1,RATON,"Raton Basin, Colorado, 2001–2011",wastewater_disposal,"Colorado, United States",2,Plausible,spatial_proximity|temporal_correlation|b_value_shift,"A sedimentary basin with historically low natural seismicity experienced an onset of earthquake swarm activity beginning in the late 1990s and continuing through the following decade. The seismicity cluster is located within a few kilometers of active wastewater disposal wells associated with coal-bed methane production, and the onset of seismicity broadly coincides with ramp-up of disposal operations. Gutenberg-Richter analysis of the seismicity cluster reveals a b-value that departs significantly from the regional tectonic background estimate. The b-value of the candidate induced seismicity cluster is elevated relative to regional values, a pattern documented in other fluid-injection-related seismicity cases and interpreted as reflecting a reduction in differential stress or an increase in pore pressure reducing effective normal stress on fault populations. This statistical anomaly in the magnitude-frequency distribution strengthens the case for a fluid-related origin compared to a purely tectonic swarm, which would be expected to have a b-value consistent with the broader regional seismotectonic context. No focal mechanism analysis has been completed for the sequence. Hypocentral depths have not been compared to the disposal interval depths. No pressure diffusion modeling has been performed.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",2,Plausible,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled,alternative_natural_trigger_not_ruled_out,
GRONING-T1-Q1,GRONING,"Groningen, Netherlands",reservoir_impoundment,Netherlands,1,Weakly suggestive,spatial_proximity|temporal_correlation,"An earthquake cluster has developed over several decades in a region that hosts one of Europe's largest subsurface resource extraction operations. The spatial footprint of the seismicity closely corresponds to the areal extent of the production field, with earthquakes occurring predominantly within or immediately adjacent to the field boundary rather than in surrounding areas with comparable geological structure. The region had a very low background seismicity rate prior to and during the early phases of production; the emergence of felt earthquakes and their subsequent increase in frequency is temporally correlated with the duration and intensity of production operations over many decades. The largest events in the sequence have caused structural damage to buildings in the region and have been a subject of public concern and regulatory attention. No focal mechanism analysis has been systematically applied to determine whether the fault geometries of the events are consistent with stress changes induced by production. The depths of the earthquakes have not been formally compared to the producing reservoir interval to assess whether seismicity is occurring at reservoir level or in underlying basement rocks. No model connecting production-induced compaction or pressure depletion to the spatiotemporal distribution of seismicity has been presented. Alternative natural explanations for the spatial and temporal clustering have not been formally ruled out.","Based on the information above, what can you conclude about the likely cause of this earthquake sequence, and how confident are you in that conclusion?",1,Weakly suggestive,focal_mechanism_absent|depth_not_compared_to_injection_horizon|pressure_diffusion_not_modeled|alternative_natural_trigger_not_ruled_out,injection_volume_pressure_not_analyzed|stress_state_not_characterized,Groningen is notable for involving compaction-induced seismicity from gas extraction rather than fluid injection. The mechanism differs from injection-induced cases. This distinction should be flagged in the case documentation but the evidence description should not reveal it.
